,data,valor_de_venda,petroleo_ultimo,petroleo_var,usd_ultimo,usd_var,producao
0,2014-01-05,2.554779447910758,107.88,1.31,2.3982,2.37,459828.1764818182
1,2014-01-12,2.5610073568248697,107.88,1.31,2.3982,2.37,459828.1764818182
2,2014-01-19,2.5636765548435734,107.88,1.31,2.3982,2.37,459828.1764818182
3,2014-01-26,2.5655913946141116,106.4,-1.37,2.4127,0.6,459828.1764818182
4,2014-02-02,2.5672898387278673,109.57,2.98,2.3802,-1.35,459828.1764818182
5,2014-02-09,2.5676704891529116,109.71,1.845,2.3629,-1.585,459828.1764818182
6,2014-02-16,2.5678481022172113,109.85,0.71,2.3456,-1.82,459828.1764818182
7,2014-02-23,2.5752527530349156,109.07,-0.71,2.3384,-0.31,459828.1764818182
8,2014-03-02,2.5841884459763222,108.35333333333332,-0.98,2.3338,-0.5166666666666667,474635.34631681815
9,2014-03-09,2.59467076681497,107.63666666666667,-1.25,2.3292,-0.7233333333333334,474635.34631681815
10,2014-03-16,2.604559973020572,106.92,-1.52,2.3246,-0.93,474635.34631681815
11,2014-03-23,2.6102573909138536,108.07,1.08,2.2618,-2.7,474635.34631681815
12,2014-03-30,2.614739031061486,106.72,-1.25,2.236,-1.14,474635.34631681815
13,2014-04-06,2.6179698080736276,108.125,0.3999999999999999,2.2366,-0.14500000000000002,474635.34631681815
14,2014-04-13,2.61894162141921,109.53,2.05,2.2372,0.85,474635.34631681815
15,2014-04-20,2.6178539283845406,109.58,0.05,2.2445,0.33,474635.34631681815
16,2014-04-27,2.617318495578523,108.59,-0.9,2.22,-1.09,474635.34631681815
17,2014-05-04,2.6187356364721683,109.24000000000001,-0.36,2.221166666666667,-0.5933333333333333,474635.34631681815
18,2014-05-11,2.6717599091659783,109.89,0.18000000000000005,2.2223333333333333,-0.09666666666666657,474635.34631681815
19,2014-05-18,2.6613554470289045,110.54,0.72,2.2235,0.4,474635.34631681815
20,2014-05-25,2.6509509848918302,109.41,-1.02,2.2408,0.78,474635.34631681815
21,2014-06-01,2.6405465227547564,111.21,-0.27,2.237033333333333,0.6,486826.50322681817
22,2014-06-08,2.6301420606176826,113.01,0.48,2.2332666666666667,0.42,486826.50322681817
23,2014-06-15,2.619737598480609,114.81,1.23,2.2295,0.24,486826.50322681817
24,2014-06-22,2.609333136343535,113.3,-1.32,2.194,-1.59,486826.50322681817
25,2014-06-29,2.598928674206461,110.64,-2.35,2.2132,0.88,486826.50322681817
26,2014-07-06,2.588524212069387,108.94,-0.905,2.21935,0.5449999999999999,507934.13079454546
27,2014-07-13,2.5882886295208714,107.24,0.54,2.2255,0.21,507934.13079454546
